"username","userid","classname","eventid","eventtitle","eventdate"
"KC","202584301","Healer","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Loa","202664289","Healer","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Juked","202717108","Absence","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Ici","202586599","Ranged","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Hatterz","202584253","Melee","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Gus","202641044","Healer","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Aea","202584489","Ranged","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Kaiser","202591242","Melee","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Jaba","202585522","Ranged","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Jergin","202716375","Ranged","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Wynd","202586674","Melee","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Irrelevant","202716723","Tank","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Proflex","202587419","Melee","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Apax","202584405","Melee","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Kniftty","202584760","Melee","1172381451925336114","Sunday Raid (Optional)","19-11-2023"
"Juked","202717065","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Sherbe","202716895","Healer","1172381448657961112","Tuesday Raid","14-11-2023"
"Ici","202586554","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Remmy","202584298","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Irrelevant","202584382","Tank","1172381448657961112","Tuesday Raid","14-11-2023"
"Zero","202591886","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Apax","202584464","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Embe","202717178","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Porf","202584255","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"KC","202584245","Healer","1172381448657961112","Tuesday Raid","14-11-2023"
"Hatterz","202584236","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Wynd","202584231","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Jergin","202716301","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Broken","202795532","Absence","1172381448657961112","Tuesday Raid","14-11-2023"
"Aea","202584461","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Gus","202641018","Healer","1172381448657961112","Tuesday Raid","14-11-2023"
"Jaba","202585513","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Kniftty","202584336","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Kaiser","202591217","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Krippz","202584275","Ranged","1172381448657961112","Tuesday Raid","14-11-2023"
"Loa","202664315","Healer","1172381448657961112","Tuesday Raid","14-11-2023"
"Proflex","202587390","Melee","1172381448657961112","Tuesday Raid","14-11-2023"
"Sherbe","202716908","Healer","1172381450088239176","Thursday Raid","16-11-2023"
"Aea","202584468","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Irrelevant","202716704","Tank","1172381450088239176","Thursday Raid","16-11-2023"
"Gus","202641035","Healer","1172381450088239176","Thursday Raid","16-11-2023"
"Porf","202584267","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"Hatterz","202584243","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"Jaba","202585516","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Broken","202795537","Absence","1172381450088239176","Thursday Raid","16-11-2023"
"Loa","202664304","Healer","1172381450088239176","Thursday Raid","16-11-2023"
"Kniftty","202584345","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"Zero","202592056","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"Kaiser","202591223","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Remmy","202584305","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"KC","202584263","Healer","1172381450088239176","Thursday Raid","16-11-2023"
"Apax","202584413","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"Krippz","202584242","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Embe","202717204","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Juked","202717082","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Jergin","202716353","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
"Proflex","202587407","Melee","1172381450088239176","Thursday Raid","16-11-2023"
"Ici","202586608","Ranged","1172381450088239176","Thursday Raid","16-11-2023"
