"username","eventid","UID","exportime","eventdate","eventtype","userstatus","eventtitle"
"Juked","1174918203999260672","1174918203999260672-Juked","11/18/2023 12:15:01 PM","11/26/2023","optional","Absence","Sunday Raid (Optional)"
"Apax","1174918203999260672","1174918203999260672-Apax","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Kaiser","1174918203999260672","1174918203999260672-Kaiser","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Aea","1174918203999260672","1174918203999260672-Aea","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Porf","1174918203999260672","1174918203999260672-Porf","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Proflex","1174918203999260672","1174918203999260672-Proflex","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Gus","1174918203999260672","1174918203999260672-Gus","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Irrelevant","1174918203999260672","1174918203999260672-Irrelevant","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Iny","1174918203999260672","1174918203999260672-Iny","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Ici","1174918203999260672","1174918203999260672-Ici","11/18/2023 12:15:01 PM","11/26/2023","optional","Absence","Sunday Raid (Optional)"
"Embe","1174918203999260672","1174918203999260672-Embe","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Sithicc","1174918203999260672","1174918203999260672-Sithicc","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Blasph","1174918203999260672","1174918203999260672-Blasph","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Sherbe","1174918203999260672","1174918203999260672-Sherbe","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Kniftty","1174918203999260672","1174918203999260672-Kniftty","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Jaba","1174918203999260672","1174918203999260672-Jaba","11/18/2023 12:15:01 PM","11/26/2023","optional","Present","Sunday Raid (Optional)"
"Aea","1174936983693426699","1174936983693426699-Aea","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
"Sherbe","1174936983693426699","1174936983693426699-Sherbe","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
"Gus","1174936983693426699","1174936983693426699-Gus","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
"Behna","1174936983693426699","1174936983693426699-Behna","11/18/2023 12:15:01 PM","11/16/2023","core","Absence","Thursday Raid"
"Porf","1174936983693426699","1174936983693426699-Porf","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
"Hatterz","1174936983693426699","1174936983693426699-Hatterz","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
"Jaba","1174936983693426699","1174936983693426699-Jaba","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
"Blasph","1174936983693426699","1174936983693426699-Blasph","11/18/2023 12:15:01 PM","11/16/2023","core","Absence","Thursday Raid"
"Broken","1174936983693426699","1174936983693426699-Broken","11/18/2023 12:15:01 PM","11/16/2023","core","Absence","Thursday Raid"
"Loa","1174936983693426699","1174936983693426699-Loa","11/18/2023 12:15:01 PM","11/16/2023","core","Present","Thursday Raid"
